회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
인카금융서비스,211050,보험 및 연금관련 서비스업,보험 판매,2/16/2022,12월,최병채,http://www.incar.co.kr,서울특별시
나래나노텍,137080,특수 목적용 기계 제조업,"디스플레이 장비 (포토, 코팅, 모듈 장비)",2/8/2022,12월,정좌진,http://www.naraenano.co.kr,경기도
아셈스,136410,플라스틱제품 제조업,핫멜트 접착 필름,2/7/2022,12월,장지상,http://assems.com,부산광역시
스코넥,276040,소프트웨어 개발 및 공급업,"XR 교육/훈련 시스템, VR 게임 콘텐츠 등",2/4/2022,12월,황대실,http://www.skonec.com/,서울특별시
이지트로닉스,377330,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",전력변환장치,2/4/2022,12월,강찬호,,경기도
LG에너지솔루션,373220,일차전지 및 축전지 제조업,"2차전지 (소형,ESS,자동차전지)",1/27/2022,12월,권영수,,서울특별시
애드바이오텍,179530,의약품 제조업,"동물용약품,영양제,단미사료(네오폐녹스),보조사료 제조,도매/식품첨가물,화장품 도소매,무역",1/24/2022,12월,정홍걸,,강원도
케이옥션,102370,상품 중개업,미술품 경매 및 판매,1/24/2022,12월,도현순,http://www.k-auction.com/,서울특별시
코스텍시스템,169670,특수 목적용 기계 제조업,"반도체 웨이퍼 이송장비, 본딩장비",1/21/2022,12월,배준호,http://www.kosteks.com/,경기도
디비금융스팩10호,404950,기타 금융업,인수목적,1/20/2022,12월,곽대환,,서울특별시
오토앤,353590,자동차 부품 및 내장품 판매업,자동차 지급품 및 애프터마켓 제품,1/20/2022,12월,최찬욱,http://www.auton.kr,경기도
래몽래인,200350,"영화, 비디오물, 방송프로그램 제작 및 배급업",드라마 제작,12/30/2021,12월,"김동래, 박지복",http://reamongraein.co.kr,서울특별시
하나금융20호스팩,400560,금융 지원 서비스업,금융지원 서비스업,12/27/2021,12월,박태한,,서울특별시
엔에이치스팩22호,396770,금융 지원 서비스업,금융 지원 서비스,12/24/2021,12월,김성준,,서울특별시
교보11호스팩,397880,금융 지원 서비스업,기업인수 및 합병,12/20/2021,12월,이규연,,서울특별시
하이제7호스팩,400840,금융 지원 서비스업,기업인수합병,12/20/2021,12월,김동찬,,서울특별시
케이티비네트워크,298870,기타 금융업,"창업투자금융, 벤처기업투자 등",12/16/2021,12월,"신진호, 김창규",http://www.ktbnetwork.com,경기도
예스피치,403360,소프트웨어 개발 및 공급업,"AI 가상비서 서비스, 화자인증 서비스",12/14/2021,12월,김재중,http://www.yespeech.com,서울특별시
제이엠멀티,254160,제재 및 목재 가공업,목재 데크로드 시스템,12/13/2021,12월,박훈웅,http://www.jmmulti.com,충청남도
신한서부티엔디리츠,404990,부동산 임대 및 공급업,부동산투자,12/10/2021,12월,승만호,http://shsbreit.com,서울특별시
툴젠,199800,자연과학 및 공학 연구개발업,유전자교정 플랫폼 관련 제품,12/10/2021,12월,"김영호, 이병화",http://toolgen.com,서울특별시
미래에셋글로벌리츠,396690,부동산 임대 및 공급업,부동산 임대업,12/3/2021,03월,신현준,,서울특별시
대신밸런스제11호스팩,397500,금융 지원 서비스업,금융 지원 서비스업,12/2/2021,12월,정재중,,서울특별시
켈스,402420,의료용 기기 제조업,체외진단 의료기기,11/30/2021,12월,이동호,http://www.thecalth.com/,경기도
SK스퀘어,402340,기타 금융업,지주회사,11/29/2021,12월,박정호,http://www.sksquare.com,서울특별시
마인즈랩,377480,소프트웨어 개발 및 공급업,종합 인공지능 엔진 및 플랫폼,11/23/2021,12월,유태준,maum.ai,대전광역시
알비더블유,361570,오디오물 출판 및 원판 녹음업,음반 및 음원 등(콘텐츠),11/22/2021,12월,"김진우, 김도훈",http://www.rbbridge.com,서울특별시
NH올원리츠,400760,부동산 임대 및 공급업,부동산투자,11/18/2021,12월,김범수,http://www.nhreits.com,서울특별시
바이옵트로,222160,특수 목적용 기계 제조업,인쇄회로기판(PCB) 전기검사기,11/18/2021,03월,김완수,http://www.bioptro.co.kr/,경기도
트윔,290090,소프트웨어 개발 및 공급업,AI 기반 스마트팩토리 검사 소프트웨어 및 설비,11/17/2021,12월,정한섭,http://www.twim21.com,경기도
아이티아이즈,372800,소프트웨어 개발 및 공급업,"디지털금융솔루션 제공 및 AI, Big Data 서비스, 클라우드 통합 플랫폼 (GURMWI)",11/11/2021,12월,이성남,http://www.iteyes.co.kr/,서울특별시
지오엘리먼트,311320,전자부품 제조업,"센서, 캐니스터",11/11/2021,12월,신현국,http://www.goelement.co.kr,경기도
디어유,376300,소프트웨어 개발 및 공급업,"모바일 어플리케이션(DearU bubble, Lysn)",11/10/2021,12월,안종오,http://www.dear-u.co,서울특별시
비트나인,357880,소프트웨어 개발 및 공급업,"그래프데이터베이스, 그래프분석서비스",11/10/2021,12월,강철순,http://bitnine.net,서울특별시
지니너스,389030,자연과학 및 공학 연구개발업,"NGS기반 조직생검 암유전체 동반진단(CancerSCAN), 액체생검 암유전체 동반진단(LiquidSCAN), 단일세포분석(Celinus) 등",11/8/2021,12월,박웅양,http://kr-geninus.com,서울특별시
카카오페이,377300,금융 지원 서비스업,"간편결제, 간편송금 및 기타 금융서비스",11/3/2021,12월,류영준,http://www.kakaopay.com,경기도
피코그램,376180,그외 기타 제품 제조업,"정수기, 정수기 필터",11/3/2021,12월,최석림,http://www.picogram.com,인천광역시
엔켐,348370,기초 화학물질 제조업,2차전지 전해액,11/1/2021,12월,오정강,http://www.enchem.net,충청북도
리파인,377450,기타 정보 서비스업,권리조사,10/29/2021,12월,이창섭,http://www.refine.co.kr,서울특별시
지앤비에스엔지니어링,382800,특수 목적용 기계 제조업,"스크러버, 트랩, 백연제거장치 등",10/29/2021,12월,박상순,http://www.gnbseng.com,경기도
아이패밀리에스씨,114840,기타 화학제품 제조업,"색조화장품 브랜드 `롬앤(Rom&nd)', IT기반 웨딩서비스 브랜드 `아이웨딩`",10/28/2021,12월,"김태욱, 김성현",http://www.ifamily.co.kr,서울특별시
젬,248020,전구 및 조명장치 제조업,LED 조명장치,10/22/2021,12월,박춘하,http://www.zamled.com,충청북도
차백신연구소,261780,자연과학 및 공학 연구개발업,백신 및 면역증강제 등,10/22/2021,12월,염정선,http://www.chavaccine.com,경기도
지아이텍,382480,특수 목적용 기계 제조업,"SLOT DIE, SLIT NOZZLE, REPAIR, 기타",10/21/2021,12월,이인영,http://gitec.kr,충청남도
엔에이치스팩21호,391710,금융 지원 서비스업,금융 지원 서비스(SPAC),10/15/2021,12월,이현범,,서울특별시
토마토시스템,393210,소프트웨어 개발 및 공급업,UI솔루션,10/14/2021,12월,이상돈,http://www.tomatosystem.co.kr/,서울특별시
케이카,381970,자동차 판매업,오프라인 및 온라인 중고차 매매업,10/13/2021,12월,정인국,http://www.kcar.com,서울특별시
씨유테크,376290,전자부품 제조업,"휴대폰, 전장 등 실장부품",10/8/2021,12월,백영현,http://www.cutech.co.kr,경기도
아스플로,159010,일반 목적용 기계 제조업,"강관, 피팅, 밸브류 등",10/7/2021,12월,강두홍,http://www.asflow.com,경기도
원준,382840,특수 목적용 기계 제조업,2차전지용 열처리 장비,10/7/2021,12월,이성제,http://www.onejoon.co.kr/,경기도
하나금융19호스팩,388220,금융 지원 서비스업,기업인수목적,10/7/2021,12월,홍지헌,,서울특별시
엔에이치스팩20호,391060,금융 지원 서비스업,기업 인수합병,10/5/2021,12월,곽대환,,서울특별시
실리콘투,257720,상품 종합 도매업,화장품 유통,9/29/2021,12월,김성운,http://www.siliconii.com,경기도
에스앤디,260970,기타 식품 제조업,"일반기능식품소재, 건강기능식품소재",9/29/2021,12월,여경목,http://www.isnd.co.kr,충청북도
프롬바이오,377220,기타 식품 제조업,개별인정형 건강기능식품,9/28/2021,12월,심태진,http://frombio-company.co.kr,경기도
바이오플러스,099430,기초 의약물질 및 생물학적 제제 제조업,"생체재료 개질 기술을 사용한 히알루론산(HA) 기반 더말필러, 유착방지제 및 그 응용제품",9/27/2021,12월,정현규,http://bioplus.co.kr,경기도
신한제8호스팩,393360,금융 지원 서비스업,SPAC합병,9/27/2021,12월,김종환,,서울특별시
대신밸런스제10호스팩,387310,금융 지원 서비스업,금융 지원 서비스업,9/17/2021,12월,이현식,,서울특별시
현대중공업,329180,선박 및 보트 건조업,"선박, 해양플랜트 및 엔진기계 등",9/17/2021,12월,"한영석, 이상균 (각자 대표이사)",http://www.hhi.co.kr,울산광역시
SK리츠,395400,부동산 임대 및 공급업,서울 중구 소재 SK서린빌딩 및 전국 116개 주유소 임대 운영,9/14/2021,03월,에스케이리츠운용 주식회사,http://skreit.co.kr,서울특별시
유진스팩7호,388800,금융 지원 서비스업,합병,9/13/2021,12월,오선영,,서울특별시
와이엠텍,273640,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",계전기(EV Relay),9/10/2021,12월,김홍기,http://www.goodymt.com,충청북도
에이비온,203400,자연과학 및 공학 연구개발업,"표적 항암제, 바이오 베터 신약",9/8/2021,12월,신영기,http://www.abionbio.com,서울특별시
IBKS제16호스팩,388790,금융 지원 서비스업,금융 지원 서비스,9/3/2021,12월,전구택,http://www.ibks.com,서울특별시
일진하이솔루스,271940,그외 기타 운송장비 제조업,"수소승용용기, 매연저감장치 등",9/1/2021,12월,안홍상,http://hysolus.co.kr,전라북도
디앤디플랫폼리츠,377190,부동산 임대 및 공급업,부동산 투자 및 관리,8/27/2021,03월,이양원,http://dndplatformreit.com/,서울특별시
바이젠셀,308080,자연과학 및 공학 연구개발업,"면역세포치료제 (면역항암제, 면역조절치료제 등)",8/25/2021,12월,김태규,http://www.vigencell.com/kr/index.asp,서울특별시
아주스틸,139990,1차 철강 제조업,"프리미엄 가전용 고품질 컬러강판, 건자재 등",8/20/2021,12월,이학연,http://www.ajusteel.com,경상북도
롯데렌탈,089860,운송장비 임대업,"렌터카, 카셰어링(그린카), 중고차매매, 일반렌탈(측정기,OA, 리프트 등)",8/19/2021,12월,김현수,http://www.lotterental.com/,경기도
브레인즈컴퍼니,099390,소프트웨어 개발 및 공급업,IT 인프라 통합관리 솔루션,8/19/2021,12월,강선근,http://www.brainz.co.kr,서울특별시
딥노이드,315640,소프트웨어 개발 및 공급업,"의료 인공지능플랫폼, 인공지능 임상의사결정 시스템",8/17/2021,12월,최우식,http://www.deepnoid.com,서울특별시
한컴라이프케어,372910,의료용 기기 제조업,"공기호흡기, 방독면, 보호복 등",8/17/2021,12월,우준석,http://www.hancomlifecare.com,경기도
엠로,058970,소프트웨어 개발 및 공급업,"SCM구축 및 용역, 라이선스, 기술료, 클라우드사용료",8/13/2021,12월,송재민,http://www.emro.co.kr,서울특별시
플래티어,367000,소프트웨어 개발 및 공급업,E-Commerce Platform 구축,8/12/2021,12월,이상훈,http://www.plateer.com/,서울특별시
원티드랩,376980,소프트웨어 개발 및 공급업,채용 플랫폼,8/11/2021,12월,이복기,http://www.wanted.co.kr,서울특별시
크래프톤,259960,소프트웨어 개발 및 공급업,등 게임 소프트웨어,8/10/2021,12월,김창한,http://www.krafton.com,서울특별시
HK이노엔,195940,의약품 제조업,"전문의약품, 숙취해소음료",8/9/2021,12월,곽달원,http://www.inno-n.com,서울특별시
PI첨단소재,178920,플라스틱제품 제조업,PI(Polyimide)제품,8/9/2021,12월,김태림,http://www.pimaterials.com,충청북도
카카오뱅크,323410,은행 및 저축기관,은행 및 금융서비스,8/6/2021,12월,윤호영,,경기도
한화플러스제2호스팩,386580,금융 지원 서비스업,-,8/5/2021,12월,이동헌,http://hanwha-plus-no2spac.com,서울특별시
에브리봇,270660,가정용 기기 제조업,"물걸레 로봇청소기, 흡입형 로봇청소기",7/28/2021,12월,정우철,,경기도
맥스트,377030,소프트웨어 개발 및 공급업,AR 개발 플랫폼/AR솔루션,7/27/2021,12월,박재완,http://www.maxst.com,서울특별시
큐라클,365270,자연과학 및 공학 연구개발업,혈관질환치료제 등,7/22/2021,12월,유재현,http://www.curacle.com,경기도
에스디바이오센서,137310,의료용 기기 제조업,STANDARD Q 항원/항체 진단키트(COVID-19 진단키트),7/16/2021,12월,이효근,http://sdbiosensor.co.kr/,경기도
오비고,352910,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",스마트카 소프트웨어 플랫폼,7/13/2021,12월,황도연,http://obigo.com/,경기도
엠씨넥스,097520,영상 및 음향기기 제조업,"모바일 카메라모듈,전장 카메라모듈,블랙박스,IP 카메라",7/6/2021,12월,민동욱,http://www.mcnex.co.kr,서울특별시
아모센스,357580,전자부품 제조업,무선충전 차폐시트,6/25/2021,12월,김인응,http://www.amosense.co.kr,충청남도
타임기술,318660,소프트웨어 개발 및 공급업,"ILS(종합군수지원), IETM(전자식기술교범), CBT(전자식교보재), 기술번역",6/24/2021,12월,주양효,http://timett.co.kr,경상남도
이노뎁,303530,소프트웨어 개발 및 공급업,영상인식 및 데이터플랫폼 솔루션,6/18/2021,12월,이성진,http://innodep.co.kr,서울특별시
라온테크,232680,특수 목적용 기계 제조업,반도체 및 FPD용 로봇시스템,6/17/2021,12월,김원경,http://www.raonrobot.com/,경기도
삼성머스트스팩5호,380320,금융 지원 서비스업,기업인수합병,6/17/2021,12월,임호원,,서울특별시
엘비루셈,376190,반도체 제조업,디스플레이 구동 반도체(Driver IC),6/11/2021,12월,신현창,http://www.lblusem.com,경상북도
이성씨엔아이,379390,"건축기술, 엔지니어링 및 관련 기술 서비스업",원자력발전소 계측제어 서비스(경상정비),6/4/2021,12월,박기선,http://www.iscni.co.kr/,부산광역시
에이디엠코리아,187660,자연과학 및 공학 연구개발업,임상 CRO 서비스,6/3/2021,12월,김현우,http://www.admkorea.co.kr,서울특별시
에코프로에이치엔,383310,기타 화학제품 제조업,환경오염 방지 관련 소재 및 설비,5/28/2021,12월,윤성진,http://www.ecoprohn.co.kr,충청북도
LX홀딩스,383800,기타 금융업,지주회사,5/27/2021,12월,"구본준, 송치호",http://www.lxholdings.co.kr,서울특별시
제주맥주,276730,알코올음료 제조업,맥주,5/26/2021,12월,문혁기,http://www.jejubeer.co.kr,제주특별자치도
진시스템,363250,의료용 기기 제조업,분자진단기반 플랫폼 개발 및 제조·판매,5/26/2021,12월,서유진,http://www.genesystem.co.kr,대전광역시
F&F,383220,봉제의복 제조업,"MLB, MLB KIDS, DISCOVERY 등 패션의류제품",5/21/2021,12월,김창수,http://www.fnf.co.kr,서울특별시
삼성스팩4호,377630,금융 지원 서비스업,기업인수합병,5/21/2021,12월,김영도,,서울특별시
삼영에스앤씨,361670,전자부품 제조업,"칩형 온습도센서,상대습도센서,미세먼지센서, 공기질 통합센서 노드 및 트랜스미터",5/21/2021,12월,박상익,http://samyoungsnc.com,경기도
엔에이치스팩19호,380440,금융 지원 서비스업,기타 금융지원(SPAC),5/21/2021,12월,조선희,,서울특별시
샘씨엔에스,252990,전자부품 제조업,세라믹 STF(다층 세라믹 기판),5/20/2021,12월,"최유진, 김헌태",http://www.semcns.com,경기도
씨앤씨인터내셔널,352480,기타 화학제품 제조업,색조 화장품,5/17/2021,12월,배은철,http://www.cnccosmetic.com,경기도
에이치피오,357230,기타 식품 제조업,"건강기능식품(유산균, 비타민 등)",5/14/2021,12월,"이현용,임성빈,오승찬 (각자대표)",http://denps.com/kor/,서울특별시
SK아이이테크놀로지,361610,일차전지 및 축전지 제조업,2차전지용 습식 분리막 및 폴더블 커버 윈도우,5/11/2021,12월,노재석,http://www.skietechnology.com/,서울특별시
하이제6호스팩,377400,금융 지원 서비스업,기업인수합병,5/10/2021,12월,정종석,,서울특별시
쿠콘,294570,기타 정보 서비스업,"페이먼트서비스(65.2%), 데이터서비스(29.1%) 등",4/28/2021,12월,김종현,http://www.coocon.net,서울특별시
이삭엔지니어링,351330,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",공장자동화 설비제어,4/21/2021,12월,"김창수, 김범수",http://isaac-eng.com,경기도
해성티피씨,059270,기타 금속 가공제품 제조업,기어 및 동력전달장치,4/21/2021,12월,이건복,http://www.haisung.co.kr,인천광역시
유진스팩6호,373340,금융 지원 서비스업,합병,4/8/2021,12월,이상두,,서울특별시
유안타제8호스팩,367480,금융 지원 서비스업,금융지원 서비스,4/5/2021,12월,정동훈,,서울특별시
엔시스,333620,기타 전기장비 제조업,2차전지 머신비전 검사장비,4/1/2021,12월,진기수,http://www.n-sys.co.kr/,충청남도
자이언트스텝,289220,"영화, 비디오물, 방송프로그램 제작 및 배급업","광고VFX, 영상VFX 및 리얼타임 콘텐츠 제작",3/24/2021,12월,"하승봉, 이지철",http://www.giantstep.co.kr,서울특별시
제노코,361390,통신 및 방송 장비 제조업,"위성탑재체, 위성운용국, 항공전자 등",3/24/2021,12월,유태삼,http://www.genohco.com,경기도
라이프시맨틱스,347700,소프트웨어 개발 및 공급업,"소프트웨어(개인건강기록 플랫폼,진료기록번역플랫폼,질병분류기호 검색) 개발,공급/의료기기 도매/자문,컨설팅/전자상거래,통신판매",3/23/2021,12월,송승재,http://lifesemantics.kr,서울특별시
SK바이오사이언스,302440,기초 의약물질 및 생물학적 제제 제조업,백신 제품 및 제제,3/18/2021,12월,안재용,http://www.skbioscience.com,경기도
바이오다인,314930,의료용 기기 제조업,액상세포검사 장비 및 소모품,3/17/2021,12월,임욱빈,http://www.biodyne.asia/,서울특별시
DB금융스팩9호,367360,금융 지원 서비스업,기업인수 및 합병,3/16/2021,12월,김창희,,서울특별시
네오이뮨텍,950220,자연과학 및 공학 연구개발업,면역항암제,3/16/2021,12월,양세환,http://neoimmunetech.co.kr,미국
화승알앤에이,378850,자동차 신품 부품 제조업,자동차용 고무제품,3/15/2021,12월,이정두,http://www.hsrna.com,경상남도
싸이버원,356890,소프트웨어 개발 및 공급업,보안관제 및 보안컨설팅 등,3/11/2021,12월,육동현,http://www.cyberone.kr/,서울특별시
프레스티지바이오로직스,334970,의약품 제조업,바이오시밀러 제조,3/11/2021,12월,양재영,http://www.prestigebiologics.com,충청북도
나노씨엠에스,247660,전자부품 제조업,"근적외선 흡수/반사 안료, 자외선 유기형광 안료, 적외선 발광체",3/9/2021,12월,김시석,http://www.nanocms.co.kr,충청남도
하나머스트7호스팩,372290,금융 지원 서비스업,기업인수목적,3/5/2021,12월,곽제훈,,서울특별시
뷰노,338220,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","뷰노메드 음성솔루션, 뷰노메드 영상솔루션, 기타 솔루션 등",2/26/2021,12월,김현준,http://www.vuno.co,서울특별시
하인크코리아,373200,그외 기타 제품 제조업,모바일 IT응용제품 외,2/26/2021,12월,길상필,http://haainc.co.kr,서울특별시
유일에너테크,340930,특수 목적용 기계 제조업,2차전지 제조장비,2/25/2021,12월,정연길,http://www.youilet.com,경기도
씨이랩,189330,소프트웨어 개발 및 공급업,빅데이터플랫폼,2/24/2021,12월,이우영,http://www.xiilab.com,서울특별시
오로스테크놀로지,322310,특수 목적용 기계 제조업,반도체 Overlay 계측 장비,2/24/2021,12월,이준우,http://www.aurostech.com,경기도
피엔에이치테크,239890,기초 화학물질 제조업,OLED 소재,2/16/2021,12월,현서용,http://www.phtech.co.kr,경기도
하나금융17호스팩,363260,금융 지원 서비스업,기업인수합병,2/10/2021,12월,남강욱,,서울특별시
아이퀘스트,262840,소프트웨어 개발 및 공급업,"패키지 ERP, 구축형 ERP 등",2/5/2021,12월,김순모,http://www.iquest.co.kr,서울특별시
프레스티지바이오파마,950210,자연과학 및 공학 연구개발업,바이오시밀러 및 항체의약품 신약,2/5/2021,06월,박소연,http://www.prestigebiopharma.com,싱가포르
신한제7호스팩,366330,금융 지원 서비스업,SPAC,2/4/2021,12월,김병훈,,서울특별시
레인보우로보틱스,277810,특수 목적용 기계 제조업,"협동로봇, 천문마운트시스템, 이족보행로봇 등",2/3/2021,12월,이정호,http://www.rainbow-robotics.com/new/index_ko.php,대전광역시
와이더플래닛,321820,소프트웨어 개발 및 공급업,빅데이터/인공지능 마케팅플랫폼 및 데이터플랫폼,2/3/2021,12월,구교식,http://www.widerplanet.com,서울특별시
솔루엠,248070,전자부품 제조업,"POWER, 3in1 Board, ESL 등",2/2/2021,12월,전성호,http://www.solu-m.com,경기도
핑거,163730,소프트웨어 개발 및 공급업,"스마트 금융 플랫폼, 핀테크 금융 솔루션",1/29/2021,12월,박민수,http://www.finger.co.kr,서울특별시
모비릭스,348030,소프트웨어 개발 및 공급업,모바일 게임 개발 및 퍼블리싱,1/28/2021,12월,임중수,http://www.mobirix.com,서울특별시
씨앤투스성진,352700,기타 섬유제품 제조업,"에어필터, 산업용 및 보건용 마스크",1/28/2021,12월,하춘욱,http://cntus-sungjin.com,부산광역시
선진뷰티사이언스,086710,기타 화학제품 제조업,화장품 원료,1/27/2021,12월,이성호,http://sunjinbs.co.kr,경기도
DL이앤씨,375500,토목 건설업,토목 건설 사업,1/25/2021,12월,마창민,,서울특별시
엔비티,236810,광고업,모바일 포인트 광고 플랫폼,1/21/2021,12월,박수근,http://nbt.com/,서울특별시
한국9호스팩,368770,금융 지원 서비스업,기타 금융업,1/21/2021,12월,변해봉,,서울특별시
나우코스,257990,기타 화학제품 제조업,"화장품, 동물용의약외품",12/30/2020,12월,노향선,http://www.nowcos.com/,세종특별자치시
베른,322190,자동차 차체 및 트레일러 제조업,캠핑카,12/29/2020,12월,김민성,http://acecamper.co.kr/,충청남도
유안타제7호스팩,367460,금융 지원 서비스업,금융지원 서비스,12/28/2020,12월,임율표,,서울특별시
루트락,253610,기타 전문 도매업,"인공슬관절, 척추 임플란트(의료기기 도·소매)",12/24/2020,12월,박종진,http://rootloc.com/,서울특별시
ESR켄달스퀘어리츠,365550,부동산 임대 및 공급업,부동산투자,12/23/2020,05월,박래익,http://www.esrks-reit.com,서울특별시
블리츠웨이,369370,"인형,장난감 및 오락용품 제조업",기업 인수 및 합병,12/23/2020,12월,배성웅,,서울특별시
석경에이티,357550,기초 화학물질 제조업,바이오 및 전기전자 나노 소재,12/23/2020,12월,임형섭,http://www.sukgyung.com,경기도
지놈앤컴퍼니,314130,기초 의약물질 및 생물학적 제제 제조업,"마이크로바이옴 기반 치료제, 화장품, 건강기능식품",12/23/2020,12월,"배지수, 박한수",http://genomecom.co.kr,경기도
프리시젼바이오,335810,의료용 기기 제조업,체외진단 기기 및 시약,12/22/2020,12월,김한신,http://precision-bio.com/,대전광역시
알체라,347860,소프트웨어 개발 및 공급업,"얼굴인식 AI, 이상상황 감지 AI 등",12/21/2020,12월,황영규,http://www.alcherainc.com,경기도
엔에이치스팩18호,365590,금융 지원 서비스업,기타 금융지원(SPAC),12/21/2020,12월,조선희,,서울특별시
에프앤가이드,064850,기타 정보 서비스업,"금융정보서비스, INDEX, 펀드평가 등",12/17/2020,12월,"김군호, 이철순",http://www.fnguide.com,서울특별시
에이치엠씨제5호스팩,353060,금융 지원 서비스업,합병을 유일한 사업목적으로 함,12/16/2020,12월,허인석,,서울특별시
티엘비,356860,전자부품 제조업,SSD Module / DRAM Module PCB,12/14/2020,12월,백성현,http://www.tlbpcb.com,경기도
씨엔티드림,286000,기타 화학제품 제조업,화장품 제조 및 도소매,12/11/2020,12월,안태우,http://www.cntdream.com,충청남도
인바이오,352940,"비료, 농약 및 살균, 살충제 제조업","살균제, 살충제, 제초제 등",12/11/2020,12월,이명재,http://enbio.co.kr,경기도
엔젠바이오,354200,"그외 기타 전문, 과학 및 기술 서비스업","유전체 분야 진단시약 제조 및 유전체 분야 소프트웨어 연구,개발,판매",12/10/2020,12월,최대출,http://ngenebio.com,서울특별시
DB금융스팩8호,367340,기타 금융업,기업인수 및 합병,12/9/2020,12월,홍창배,,서울특별시
퀀타매트릭스,317690,의료용 기기 제조업,신속항균제검사 장비 및 키트,12/9/2020,12월,권성훈,http://www.quantamatrix.com,서울특별시
명신산업,009900,자동차 신품 부품 제조업,자동차차체부품,12/7/2020,12월,박봉근,http://www.myoungshinindustry.com,경상북도
클리노믹스,352770,의료용품 및 기타 의약 관련제품 제조업,"Geno Series, CD-PRIME, Cancer Prime",12/4/2020,12월,"김병철,정종태",http://www.clinomics.com,울산광역시
포인트모바일,318020,컴퓨터 및 주변장치 제조업,산업용 PDA,12/3/2020,12월,강삼권,http://pointmobile.com,서울특별시
앱코,129890,컴퓨터 및 주변장치 제조업,"게이밍기어, 뉴라이프가전 등",12/2/2020,12월,"이태화, 오광근 (각자대표)",http://www.abko.co.kr,서울특별시
엔에프씨,265740,기타 화학제품 제조업,화장품 원료 제조 및 판매,12/2/2020,12월,유우영,http://nfccosmetics.co.kr,인천광역시
제일전기공업,199820,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","PCB Assay, 배선기구, 분전반 등",11/26/2020,12월,강동욱,http://www.cheilelec.com,부산광역시
하나기술,299030,특수 목적용 기계 제조업,이차전지 양산 자동화 설비 제조,11/25/2020,12월,오태봉,http://www.hn-tech.co.kr,경기도
에이플러스에셋,244920,보험 및 연금관련 서비스업,보험대리 및 중개업,11/20/2020,12월,"곽근호, 서성식, 조규남",,서울특별시
티앤엘,340570,의료용품 및 기타 의약 관련제품 제조업,"창상치료재, 정형외과용 고정재",11/20/2020,12월,최윤소,http://www.tnl.co.kr/,경기도
고바이오랩,348150,자연과학 및 공학 연구개발업,마이크로바이옴 치료제 및 건강기능식품,11/18/2020,12월,"고광표, 박철원",http://kobiolabs.com,서울특별시
네패스아크,330860,"그외 기타 전문, 과학 및 기술 서비스업",반도체 테스트 서비스,11/17/2020,12월,"이창우, 이병구(각자 대표이사)",http://www.nepesark.co.kr,충청북도
교촌에프앤비,339770,음·식료품 및 담배 도매업,치킨 프랜차이즈,11/12/2020,12월,"소진세,조은기",http://kyochonfnb.com,경상북도
소룩스,290690,전구 및 조명장치 제조업,"실내등(형광등, LED등), 실외등, 특수등",11/6/2020,12월,김복덕,http://www.solux.co.kr,충청남도
위드텍,348350,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","AMCs 모니터링 시스템, 공정 프로세스 모니터링 시스템, TMS",10/30/2020,12월,유승교,http://www.withtech.co.kr,대전광역시
센코,347000,전자부품 제조업,"가스센서 및 모듈, 휴대용 및 고정형 가스검지기, 악취 & 미세먼지 모니터링 시스템",10/29/2020,12월,하승철,http://www.senko.co.kr,경기도
바이브컴퍼니,301300,소프트웨어 개발 및 공급업,"소셜 빅데이터 기반 인공지능 서비스 (소셜메트릭스), 문제 해결 솔루션 (AI Solver)",10/28/2020,12월,이재용,http://www.vaiv.kr,서울특별시
원포유,122830,전기 통신업,영상 및 음성 통신 서비스,10/23/2020,12월,전동호,http://www.one4u.co.kr,서울특별시
미코바이오메드,214610,의료용 기기 제조업,체외진단용 의료기기,10/22/2020,12월,김성우,http://www.micobiomed.com,경기도
피플바이오,304840,의료용품 및 기타 의약 관련제품 제조업,올리고머화 베타-아밀로이드 검사제품(알츠하이머병 진단),10/19/2020,12월,강성민,http://www.peoplebio.net/kr/index.php,경기도
하이브,352820,오디오물 출판 및 원판 녹음업,"음악 기획/제작, 퍼블리싱, 아티스트 매니지먼트",10/15/2020,12월,박지원,http://www.bighitcorp.com,서울특별시
넥스틴,348210,특수 목적용 기계 제조업,반도체 전공정용 패턴결함 검사장비(AEGIS 등),10/8/2020,12월,박태훈,http://nextinsol.com,경기도
원방테크,053080,일반 목적용 기계 제조업,클린룸 설비,9/24/2020,12월,"구자겸, 김병진",http://wonbangtech.com,충청북도
비나텍,126340,일차전지 및 축전지 제조업,초고용량 커패시터(슈퍼커패시터),9/23/2020,12월,성도경,http://www.vina.co.kr,전라북도
씨엔알리서치,359090,"그외 기타 전문, 과학 및 기술 서비스업",금융 지원 서비스,9/23/2020,12월,윤문태,,서울특별시
